Sample description: Diamond Light Source Ltd
Parent(s): sample_avg.dat
 4.000000e-003 -2.547336e-002  1.015145e-002
 1.298676e-001  1.880612e-003  2.132613e-004
 1.301092e-001  2.223180e-003  2.138399e-004
 1.303508e-001  2.035776e-003  2.126180e-004
 1.305924e-001  1.836099e-003  2.142788e-004
 1.308340e-001  2.326592e-003  2.154388e-004
 1.310756e-001  1.918405e-003  2.134519e-004
 1.313171e-001  2.135473e-003  2.128023e-004
 1.315587e-001  1.789861e-003  2.116813e-004
 1.318003e-001  1.851690e-003  2.122655e-004
 1.320419e-001  1.800573e-003  2.112882e-004
 1.322835e-001  1.609032e-003  2.110142e-004
 1.325251e-001  2.051237e-003  2.129221e-004
 1.327667e-001  1.474275e-003  2.105175e-004
 1.330083e-001  1.597876e-003  2.116890e-004
 1.332499e-001  1.879264e-003  2.121467e-004
 1.334915e-001  1.688966e-003  2.127175e-004
 1.337330e-001  1.776902e-003  2.106378e-004
 1.339746e-001  2.275995e-003  2.111810e-004
 1.342162e-001  1.560443e-003  2.096079e-004
 1.344578e-001  1.840419e-003  2.107885e-004
 1.346994e-001  2.175236e-003  2.103626e-004
 1.349410e-001  1.787434e-003  2.112893e-004
 1.351826e-001  2.120382e-003  2.104284e-004
